ID,pop,ref,skog,index
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,0.417903002570657,0.417903002570657,6.875488563179114,1
4,0.105625528617801,0.105625528617801,4.863424110597934,1
5,3.7113265991210938,0.0643411586748674,7.62338438524089,0.44179999999999997
6,0.2753725051879883,0.0352189861135829,8.477271927738212,0.9993
7,NA,NA,NA,NA
8,0.5601806640625,0.5601806640625,7.4755786017943375,1
9,NA,NA,NA,NA
10,3.376358032226563,0.193502902984619,9.611044697189064,0.7155
11,2.3824462890625,0.226048499750336,12.123810764521428,0.9319999999999999
12,NA,NA,NA,NA
13,0.7281799316406251,0.7281799316406251,10.123555847699809,1
14,0.2679443359375,0.1396484375,6.372839042649312,0.9997
15,0.861307480755974,0.861307480755974,11.743106609552132,1
16,0.20380510602678573,0.10702812671661399,10.475177557217178,1
17,NA,NA,NA,NA
18,4.537200927734375,0.169113159179688,10.593357535729126,0.5635
19,NA,NA,NA,NA
20,1.09075927734375,0.26593017578125,9.65690425007742,0.9886
21,0.417960166931152,0.417960166931152,11.24336659561618,1
22,NA,NA,NA,NA
23,6.81390380859375,0.7839660644531251,9.744679852174391,0.1503
24,NA,NA,NA,NA
25,1.06484985351562,1.06484985351562,10.37326750908075,1
